B19_nasal_ax_groin	A04_lesion	D27_nasal_ax_groin	D04_nasal_ax_groin	C10_nasal_ax_groin	A29_nasal_ax_groin	D06_nasal_ax_groin	C02_nasal_ax_groin	D23_nasal_ax_groin	C09_nasal_ax_groin	A09_lesion	A06_nasal_ax_groin	D09_nasal_ax_groin	C29_nasal_ax_groin	A07_lesion	A11_nasal_ax_groin	A03_lesion	A23_nasal_ax_groin	B18_nasal_ax_groin	D17_nasal_ax_groin	C17_nasal_ax_groin	C25_nasal_ax_groin	A12_nasal_ax_groin	A17_nasal_ax_groin	A06_lesion	C15_nasal_ax_groin	D24_nasal_ax_groin	B07_nasal_ax_groin	D02_nasal_ax_groin	B17_nasal_ax_groin	A13_lesion	B08_nasal_ax_groin	C12_nasal_ax_groin	A05_lesion	A17_lesion	A10_nasal_ax_groin	D30_nasal_ax_groin	A24_nasal_ax_groin	B11_nasal_ax_groin	D11_nasal_ax_groin	C30_nasal_ax_groin	C08_nasal_ax_groin	B15_nasal_ax_groin	A25_nasal_ax_groin	D22_nasal_ax_groin	A08_lesion	A15_nasal_ax_groin	A01_nasal_ax_groin	A08_nasal_ax_groin	A07_nasal_ax_groin	C18_nasal_ax_groin	A18_nasal_ax_groin
D11_nasal_ax_groin 0.00550037 0.00572885 0.00542193 0.00554359 0.00861933 0.00555948 0.00560222 0.00816592 0.00573893 0.00554408 0.00560275 0.00553690 0.00771183 0.00780807 0.00570660 0.00006963 0.00554471 0.00569175 0.00563924 0.00553793 0.00547730 0.00577253 0.00006625 0.00578642 0.00563901 0.00751241 0.00549028 0.00546523 0.00562178 0.00573547 0.00744070 0.00538803 0.00546972 0.00563507 0.00585606 0.00775151 0.00555924 0.00546458 0.00007851 0 0.00847246 0.00008051 0.00542521 0.00566444 0.00570188 0.00536103 0.00741948 0.00555467 0.00548703 0.00573160 0.00561588 0.00565352
C30_nasal_ax_groin 0.00866122 0.00893348 0.00831689 0.00875163 0.00033738 0.00872042 0.00868773 0.00030539 0.00881217 0.00853133 0.00865131 0.00869331 0.00745538 0.00740341 0.00878478 0.00858641 0.00873518 0.00882852 0.00865995 0.00858060 0.00847243 0.00889633 0.00819528 0.00899632 0.00872689 0.00806678 0.00843403 0.00830326 0.00882995 0.00888381 0.00720702 0.00846392 0.00849230 0.00879744 0.00908391 0.00750670 0.00863605 0.00855301 0.00811048 0.00847246 0 0.00811411 0.00852694 0.00871731 0.00878161 0.00837317 0.00808860 0.00855596 0.00856429 0.00874121 0.00863808 0.00858761
C08_nasal_ax_groin 0.00527517 0.00543139 0.00531561 0.00548000 0.00798927 0.00531514 0.00538406 0.00789541 0.00538269 0.00540420 0.00537282 0.00524046 0.00735211 0.00733413 0.00541475 0.00004127 0.00527890 0.00551621 0.00540212 0.00538511 0.00535002 0.00554457 0.00003756 0.00554318 0.00537214 0.00713963 0.00537421 0.00527727 0.00544986 0.00545821 0.00719692 0.00524097 0.00533912 0.00530114 0.00555492 0.00738308 0.00534072 0.00537582 0.00004075 0.00008051 0.00811411 0 0.00534739 0.00543376 0.00545454 0.00524854 0.00692582 0.00531276 0.00526630 0.00543381 0.00541577 0.00538442
B15_nasal_ax_groin 0.00301791 0.00328770 0.00302442 0.00009156 0.00877962 0.00305581 0.00322936 0.00835211 0.00316677 0.00351525 0.00326247 0.00302717 0.00792595 0.00795365 0.00328571 0.00558920 0.00302036 0.00010273 0.00314363 0.00330721 0.00342362 0.00327265 0.00538033 0.00334115 0.00324871 0.00702340 0.00346253 0.00323026 0.00330559 0.00329979 0.00769876 0.00298154 0.00343267 0.00307528 0.00336785 0.00794739 0.00324180 0.00339689 0.00535043 0.00542521 0.00852694 0.00534739 0 0.00325956 0.00010232 0.00299678 0.00687566 0.00344887 0.00300119 0.00352603 0.00010622 0.00313763
A25_nasal_ax_groin 0.00317038 0.00018590 0.00316219 0.00332841 0.00895494 0.00319974 0.00016530 0.00840769 0.00341841 0.00341235 0.00336102 0.00321636 0.00811450 0.00821708 0.00015862 0.00570592 0.00322229 0.00338138 0.00339379 0.00259492 0.00348491 0.00327608 0.00549265 0.00331465 0.00334928 0.00716538 0.00338686 0.00016417 0.00327126 0.00329217 0.00773074 0.00317124 0.00347210 0.00322138 0.00334860 0.00816052 0.00017181 0.00315549 0.00541507 0.00566444 0.00871731 0.00543376 0.00325956 0 0.00338867 0.00313895 0.00705488 0.00358401 0.00319528 0.00348074 0.00333223 0.00339203
D22_nasal_ax_groin 0.00311879 0.00341137 0.00311170 0.00009280 0.00900347 0.00315499 0.00329626 0.00853105 0.00324393 0.00360220 0.00334223 0.00313178 0.00819671 0.00825738 0.00333871 0.00569664 0.00314243 0.00005767 0.00323606 0.00338645 0.00350262 0.00338567 0.00548877 0.00341936 0.00334947 0.00732049 0.00354840 0.00322583 0.00330925 0.00337713 0.00782024 0.00304531 0.00346606 0.00321173 0.00345366 0.00832346 0.00329820 0.00347525 0.00537354 0.00570188 0.00878161 0.00545454 0.00010232 0.00338867 0 0.00305536 0.00706164 0.00356848 0.00309655 0.00364974 0.00000920 0.00321820
A08_lesion 0.00008935 0.00314939 0.00023549 0.00303801 0.00843972 0.00011367 0.00310184 0.00823837 0.00319785 0.00336343 0.00324942 0.00009871 0.00783576 0.00787217 0.00311819 0.00536035 0.00001213 0.00305808 0.00316350 0.00333680 0.00355282 0.00270322 0.00527153 0.00272244 0.00324872 0.00694330 0.00336258 0.00310100 0.00271284 0.00270510 0.00766764 0.00001187 0.00351675 0.00008927 0.00273757 0.00782959 0.00313629 0.00321730 0.00527706 0.00536103 0.00837317 0.00524854 0.00299678 0.00313895 0.00305536 0 0.00676046 0.00344377 0.00001650 0.00336275 0.00304350 0.00316083
A15_nasal_ax_groin 0.00693888 0.00703221 0.00685370 0.00710722 0.00804605 0.00698384 0.00692648 0.00766768 0.00703344 0.00693771 0.00694978 0.00689782 0.00720059 0.00723916 0.00704426 0.00741667 0.00702533 0.00707913 0.00699112 0.00689774 0.00680855 0.00718973 0.00703782 0.00718084 0.00711565 0.00423987 0.00684359 0.00676151 0.00696921 0.00708578 0.00686567 0.00684533 0.00686884 0.00704036 0.00723426 0.00722383 0.00694642 0.00684370 0.00699085 0.00741948 0.00808860 0.00692582 0.00687566 0.00705488 0.00706164 0.00676046 0 0.00700190 0.00691848 0.00703093 0.00698142 0.00696055
A01_nasal_ax_groin 0.00349236 0.00360917 0.00345417 0.00351255 0.00859429 0.00349732 0.00352917 0.00829790 0.00357388 0.00358132 0.00350273 0.00350278 0.00783139 0.00789424 0.00357548 0.00556470 0.00353357 0.00358388 0.00352821 0.00348652 0.00366222 0.00356162 0.00535816 0.00355737 0.00352406 0.00717253 0.00354880 0.00346520 0.00348792 0.00355122 0.00760170 0.00344972 0.00366810 0.00355068 0.00358568 0.00785559 0.00353773 0.00339091 0.00534955 0.00555467 0.00855596 0.00531276 0.00344887 0.00358401 0.00356848 0.00344377 0.00700190 0 0.00349196 0.00362329 0.00352550 0.00353016
A08_nasal_ax_groin 0.00008966 0.00318679 0.00023357 0.00308828 0.00869891 0.00011890 0.00313015 0.00833882 0.00323520 0.00341777 0.00331866 0.00010026 0.00799215 0.00808395 0.00315192 0.00555367 0.00000734 0.00310051 0.00319466 0.00339295 0.00356970 0.00273776 0.00530022 0.00276625 0.00331479 0.00717723 0.00338268 0.00309384 0.00272862 0.00274520 0.00773500 0.00001005 0.00355747 0.00009352 0.00278819 0.00809307 0.00316262 0.00326133 0.00527673 0.00548703 0.00856429 0.00526630 0.00300119 0.00319528 0.00309655 0.00001650 0.00691848 0.00349196 0 0.00345422 0.00306605 0.00319805
A07_nasal_ax_groin 0.00342439 0.00347721 0.00341584 0.00359926 0.00872859 0.00345841 0.00346093 0.00834427 0.00360191 0.00012444 0.00367678 0.00339605 0.00808014 0.00815834 0.00344716 0.00553677 0.00349522 0.00366313 0.00360827 0.00348087 0.00346791 0.00356032 0.00550809 0.00358401 0.00369103 0.00729016 0.00004401 0.00334445 0.00352687 0.00354977 0.00774338 0.00342074 0.00341706 0.00348340 0.00359520 0.00819740 0.00345128 0.00348059 0.00539374 0.00573160 0.00874121 0.00543381 0.00352603 0.00348074 0.00364974 0.00336275 0.00703093 0.00362329 0.00345422 0 0.00362102 0.00360256
C18_nasal_ax_groin 0.00308605 0.00336285 0.00309510 0.00009665 0.00883911 0.00313471 0.00326014 0.00845072 0.00321645 0.00360767 0.00330321 0.00309654 0.00800773 0.00809882 0.00329565 0.00563767 0.00308970 0.00006469 0.00321860 0.00335065 0.00347392 0.00334540 0.00544441 0.00338317 0.00331386 0.00716889 0.00351890 0.00320993 0.00329233 0.00334580 0.00776329 0.00304525 0.00343991 0.00317157 0.00341052 0.00808078 0.00328209 0.00346975 0.00534840 0.00561588 0.00863808 0.00541577 0.00010622 0.00333223 0.00000920 0.00304350 0.00698142 0.00352550 0.00306605 0.00362102 0 0.00318360
A18_nasal_ax_groin 0.00317531 0.00336122 0.00319088 0.00317586 0.00873236 0.00321880 0.00335717 0.00825317 0.00032442 0.00354282 0.00329592 0.00320775 0.00795921 0.00798946 0.00337486 0.00568060 0.00323324 0.00324551 0.00001017 0.00328070 0.00354696 0.00336179 0.00544679 0.00338172 0.00331235 0.00714124 0.00351855 0.00327667 0.00332120 0.00334080 0.00768085 0.00318883 0.00355403 0.00321464 0.00339822 0.00805886 0.00336477 0.00337717 0.00539678 0.00565352 0.00858761 0.00538442 0.00313763 0.00339203 0.00321820 0.00316083 0.00696055 0.00353016 0.00319805 0.00360256 0.00318360 0
